conformer_id,SMILES_from_3D_conformer,tanimoto_similarity_with_original_SMILES
0,O=C(O)c1ccccc1O,1.0
1,O=C(O)c1ccccc1O,1.0
2,O=C(O)c1ccccc1O,1.0
3,O=C(O)c1ccccc1O,1.0
4,O=C(O)c1ccccc1O,1.0
5,O=C(O)c1ccccc1O,1.0
6,O=C(O)c1ccccc1O,1.0
7,O=C(O)c1ccccc1O,1.0
8,O=C(O)c1ccccc1O,1.0
9,O=C(O)c1ccccc1O,1.0
10,O=C(O)c1ccccc1O,1.0
11,O=C(O)c1ccccc1O,1.0
12,O=C(O)c1ccccc1O,1.0
13,O=C(O)c1ccccc1O,1.0
14,O=C(O)c1ccccc1O,1.0
15,O=C(O)c1ccccc1O,1.0
16,O=C(O)c1ccccc1O,1.0
17,O=C(O)c1ccccc1O,1.0
18,O=C(O)c1ccccc1O,1.0
19,O=C(O)c1ccccc1O,1.0
20,O=C(O)c1ccccc1O,1.0
21,O=C(O)c1ccccc1O,1.0
22,O=C(O)c1ccccc1O,1.0
23,O=C(O)c1ccccc1O,1.0
24,O=C(O)c1ccccc1O,1.0
25,O=C(O)c1ccccc1O,1.0
26,O=C(O)c1ccccc1O,1.0
27,O=C(O)c1ccccc1O,1.0
28,O=C(O)c1ccccc1O,1.0
29,O=C(O)c1ccccc1O,1.0
30,O=C(O)c1ccccc1O,1.0
31,O=C(O)c1ccccc1O,1.0
32,O=C(O)c1ccccc1O,1.0
33,O=C(O)c1ccccc1O,1.0
34,O=C(O)c1ccccc1O,1.0
35,O=C(O)c1ccccc1O,1.0
36,O=C(O)c1ccccc1O,1.0
37,O=C(O)c1ccccc1O,1.0
38,O=C(O)c1ccccc1O,1.0
39,O=C(O)c1ccccc1O,1.0
40,O=C(O)c1ccccc1O,1.0
41,O=C(O)c1ccccc1O,1.0
42,O=C(O)c1ccccc1O,1.0
43,O=C(O)c1ccccc1O,1.0
44,O=C(O)c1ccccc1O,1.0
45,O=C(O)c1ccccc1O,1.0
46,O=C(O)c1ccccc1O,1.0
47,O=C(O)c1ccccc1O,1.0
