conformer_id,SMILES_from_3D_conformer,tanimoto_similarity_with_original_SMILES
0,NC(=O)CO,1.0
1,NC(=O)CO,1.0
2,NC(=O)CO,1.0
3,NC(=O)CO,1.0
4,NC(=O)CO,1.0
5,NC(=O)CO,1.0
6,NC(=O)CO,1.0
7,NC(=O)CO,1.0
8,NC(=O)CO,1.0
9,NC(=O)CO,1.0
10,NC(=O)CO,1.0
11,NC(=O)CO,1.0
12,NC(=O)CO,1.0
13,NC(=O)CO,1.0
14,NC(=O)CO,1.0
15,NC(=O)CO,1.0
16,NC(=O)CO,1.0
17,NC(=O)CO,1.0
18,NC(=O)CO,1.0
19,NC(=O)CO,1.0
20,NC(=O)CO,1.0
21,NC(=O)CO,1.0
22,NC(=O)CO,1.0
23,NC(=O)CO,1.0
24,NC(=O)CO,1.0
25,NC(=O)CO,1.0
26,NC(=O)CO,1.0
27,NC(=O)CO,1.0
28,NC(=O)CO,1.0
29,NC(=O)CO,1.0
30,NC(=O)CO,1.0
31,NC(=O)CO,1.0
32,NC(=O)CO,1.0
33,NC(=O)CO,1.0
34,NC(=O)CO,1.0
35,NC(=O)CO,1.0
36,NC(=O)CO,1.0
37,NC(=O)CO,1.0
38,NC(=O)CO,1.0
39,NC(=O)CO,1.0
40,NC(=O)CO,1.0
41,NC(=O)CO,1.0
42,NC(=O)CO,1.0
43,NC(=O)CO,1.0
44,NC(=O)CO,1.0
45,NC(=O)CO,1.0
46,NC(=O)CO,1.0
47,NC(=O)CO,1.0
48,NC(=O)CO,1.0
49,NC(=O)CO,1.0
50,NC(=O)CO,1.0
51,NC(=O)CO,1.0
52,NC(=O)CO,1.0
53,NC(=O)CO,1.0
54,NC(=O)CO,1.0
55,NC(=O)CO,1.0
56,NC(=O)CO,1.0
57,NC(=O)CO,1.0
58,NC(=O)CO,1.0
59,NC(=O)CO,1.0
60,NC(=O)CO,1.0
61,NC(=O)CO,1.0
62,NC(=O)CO,1.0
63,NC(=O)CO,1.0
64,NC(=O)CO,1.0
65,NC(=O)CO,1.0
66,NC(=O)CO,1.0
67,NC(=O)CO,1.0
68,NC(=O)CO,1.0
69,NC(=O)CO,1.0
70,NC(=O)CO,1.0
71,NC(=O)CO,1.0
72,NC(=O)CO,1.0
73,NC(=O)CO,1.0
74,NC(=O)CO,1.0
75,NC(=O)CO,1.0
76,NC(=O)CO,1.0
77,NC(=O)CO,1.0
78,NC(=O)CO,1.0
79,NC(=O)CO,1.0
80,NC(=O)CO,1.0
81,NC(=O)CO,1.0
82,NC(=O)CO,1.0
83,NC(=O)CO,1.0
84,NC(=O)CO,1.0
85,NC(=O)CO,1.0
86,NC(=O)CO,1.0
87,NC(=O)CO,1.0
88,NC(=O)CO,1.0
89,NC(=O)CO,1.0
90,NC(=O)CO,1.0
91,NC(=O)CO,1.0
92,NC(=O)CO,1.0
93,NC(=O)CO,1.0
94,NC(=O)CO,1.0
95,NC(=O)CO,1.0
96,NC(=O)CO,1.0
97,NC(=O)CO,1.0
98,NC(=O)CO,1.0
99,NC(=O)CO,1.0
100,NC(=O)CO,1.0
101,NC(=O)CO,1.0
102,NC(=O)CO,1.0
103,NC(=O)CO,1.0
104,NC(=O)CO,1.0
105,NC(=O)CO,1.0
106,NC(=O)CO,1.0
107,NC(=O)CO,1.0
